M-D,M,D,1981_SWE_in,1982_SWE_in,1983_SWE_in,1984_SWE_in,1985_SWE_in,1986_SWE_in,1987_SWE_in,1988_SWE_in,1989_SWE_in,1990_SWE_in,1991_SWE_in,1992_SWE_in,1993_SWE_in,1994_SWE_in,1995_SWE_in,1996_SWE_in,1997_SWE_in,1998_SWE_in,1999_SWE_in,2000_SWE_in,2001_SWE_in,2002_SWE_in,2003_SWE_in,2004_SWE_in,2005_SWE_in,2006_SWE_in,2007_SWE_in,2008_SWE_in,2009_SWE_in,2010_SWE_in,2011_SWE_in,2012_SWE_in,2013_SWE_in,2014_SWE_in,2015_SWE_in,2016_SWE_in,2017_SWE_in,2018_SWE_in,2019_SWE_in,2020_SWE_in,2021_SWE_in,2022_SWE_in,2023_SWE_in,2024_SWE_in,2025_SWE_in,2026_SWE_in,min,Q10,Q25,mean,median,Q75,Q90,max,date
10-21,10,21,0.0,0.0,0.00250000135,0.00250000135,0.015200008207999998,0.00250000135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005100002754000001,0.010200005508000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025400013716,0.0,0.0,0.0,0.0,0.0,0.0,0.010200005508000001,0.0,0.0,0.0,0.0,0.0,0.012700006858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018760879696086957,0.0,0.0,0.007650004131000001,0.025400013716,2023-10-21
10-22,10,22,0.0,0.0,0.00250000135,0.00250000135,0.015200008207999998,0.0,0.03300001782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005100002754000001,0.00250000135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022900012366000002,0.0,0.007600004103999999,0.0,0.00250000135,0.0,0.0,0.010200005508000001,0.0,0.0,0.0,0.0,0.0,0.015200008207999998,0.0,0.0,0.0,0.0,0.00250000135,0.0,0.0,0.0,0.0,0.0026456536025652173,0.0,0.0018750010125,0.008900004806,0.03300001782,2023-10-22
10-23,10,23,0.0,0.0,0.00250000135,0.0,0.015200008207999998,0.0,0.027900015065999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005100002754000001,0.0,0.0,0.0,0.0,0.0,0.0,0.005100002754000001,0.0,0.0,0.0,0.022900012366000002,0.0,0.00250000135,0.0,0.017800009611999998,0.0,0.0,0.005100002754000001,0.0,0.010200005508000001,0.0,0.0,0.0,0.020300010961999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0029260885366086953,0.0,0.0,0.012700006858,0.027900015065999997,2023-10-23
10-24,10,24,0.0,0.0,0.00250000135,0.0,0.015200008207999998,0.0,0.027900015065999997,0.0,0.0,0.0,0.0,0.00250000135,0.0,0.0,0.0,0.0,0.0,0.005100002754000001,0.0,0.0,0.0,0.0,0.010200005508000001,0.0,0.0,0.0,0.022900012366000002,0.0,0.0,0.0,0.020300010961999997,0.0,0.0,0.005100002754000001,0.0,0.005100002754000001,0.0,0.0,0.0,0.025400013716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003091306017130435,0.0,0.0,0.012700006858,0.027900015065999997,2023-10-24
10-25,10,25,0.0,0.0,0.00250000135,0.005100002754000001,0.015200008207999998,0.0,0.027900015065999997,0.0,0.0,0.0,0.0,0.007600004103999999,0.0,0.0,0.0,0.0,0.0,0.005100002754000001,0.0,0.0,0.0,0.0,0.007600004103999999,0.0,0.0,0.0,0.022900012366000002,0.0,0.0,0.0,0.020300010961999997,0.0,0.0,0.005100002754000001,0.0,0.0,0.0,0.0,0.0,0.025400013716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0031456538725652176,0.0,0.0,0.011400006155999998,0.027900015065999997,2023-10-25
10-26,10,26,0.0,0.0,0.00250000135,0.005100002754000001,0.020300010961999997,0.0,0.020300010961999997,0.0,0.0,0.0,0.0,0.005100002754000001,0.0,0.0,0.0,0.0,0.0,0.00250000135,0.0,0.0,0.0,0.0,0.007600004103999999,0.0,0.0,0.0,0.03050001647,0.0,0.0,0.0,0.027900015065999997,0.0,0.007600004103999999,0.005100002754000001,0.0,0.0,0.0,0.0,0.0,0.025400013716,0.025400013716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004028263044826087,0.0,0.00250000135,0.020300010961999997,0.03050001647,2023-10-26
10-27,10,27,0.0,0.0,0.007600004103999999,0.005100002754000001,0.022900012366000002,0.0,0.012700006858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005100002754000001,0.0,0.0,0.0,0.045700024677999995,0.0,0.0,0.0,0.025400013716,0.0,0.007600004103999999,0.005100002754000001,0.0,0.0,0.0,0.0,0.0,0.027900015065999997,0.025400013716,0.0,0.005100002754000001,0.0,0.0,0.0,0.0,0.0,0.0,0.004252176209217391,0.0,0.0038250020655000005,0.017800009612,0.045700024677999995,2023-10-27
10-28,10,28,0.0,0.0,0.007600004103999999,0.007600004103999999,0.022900012366000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00250000135,0.0,0.0,0.0,0.00250000135,0.005100002754000001,0.0,0.0,0.0,0.043200023328,0.0,0.0,0.0,0.022900012366000002,0.0,0.010200005508000001,0.005100002754000001,0.0,0.005100002754000001,0.0,0.005100002754000001,0.0,0.03050001647,0.025400013716,0.0,0.010200005508000001,0.00250000135,0.0,0.0,0.0,0.0,0.0,0.004530437229043478,0.0,0.005100002754000001,0.016550008937000003,0.043200023328,2023-10-28
10-29,10,29,0.0,0.0,0.007600004103999999,0.010200005508000001,0.022900012366000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015200008207999998,0.0,0.0,0.0,0.010200005508000001,0.012700006858,0.005100002754000001,0.0,0.00250000135,0.005100002754000001,0.0,0.0,0.0,0.043200023328,0.0,0.00250000135,0.0,0.022900012366000002,0.005100002754000001,0.010200005508000001,0.005100002754000001,0.0,0.005100002754000001,0.0,0.0,0.0,0.038100020574,0.025400013716,0.0,0.010200005508000001,0.012700006858,0.0,0.0,0.0,0.0,0.0,0.005913046671304348,0.0,0.009550005157,0.019050010287,0.043200023328,2023-10-29
10-30,10,30,0.0,0.005100002754000001,0.007600004103999999,0.010200005508000001,0.022900012366000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022900012366000002,0.0,0.0,0.005100002754000001,0.010200005508000001,0.010200005508000001,0.00250000135,0.0,0.00250000135,0.010200005508000001,0.0,0.0,0.0,0.043200023328,0.0,0.00250000135,0.0,0.022900012366000002,0.007600004103999999,0.0,0.015200008207999998,0.0,0.0,0.0,0.0,0.0,0.045700024677999995,0.025400013716,0.0,0.010200005508000001,0.012700006858,0.0,0.0,0.0,0.0,0.0,0.006408699112869565,0.0,0.010200005508000001,0.022900012366000002,0.045700024677999995,2023-10-30
